ID metabolite	FC	log2(FC)	p.ajusted	log p	regulation
Peak134	5.6496	2.4981	0.0085193	2.0696	up
Peak261	5.5949	2.4841	0.01701	1.7693	up
Peak304	5.038	2.3329	0.031062	1.5078	up
Peak340	4.9722	2.3139	0.032772	1.4845	up
Peak31	3.675	1.8778	0.019007	1.7211	up
Peak78	3.582	1.8408	0.015853	1.7999	up
Peak306	0.17515	-2.5133	0.028233	1.5492	down
Peak338	0.13208	-2.9206	0.015002	1.8238	down
Peak122	0.11319	-3.1432	0.038537	1.4141	down
Peak305	0.1073	-3.2203	0.045544	1.3416	down
Peak37	0.088967	-3.4906	0.029343	1.5325	down
Peak360	0.068648	-3.8646	0.0027367	2.5628	down
Peak481	0.042208	-4.5664	0.016188	1.7908	down
Peak19	0.035471	-4.8172	0.00080852	3.0923	down
Peak687	1.15E-06	-19.729	8.86E-05	4.0524	down
Peak640	1.08E-06	-19.822	0.0010942	2.9609	down
Peak661	8.52E-07	-20.163	0.0002963	3.5283	down
Peak657	8.33E-07	-20.196	0.00016167	3.7914	down
Peak246	8.30E-07	-20.2	4.30E-05	4.367	down
Peak678	7.67E-07	-20.314	0.00023744	3.6245	down
Peak342	7.44E-07	-20.358	4.32E-05	4.3645	down
Peak290	7.26E-07	-20.394	1.58E-05	4.8024	down
Peak283	6.89E-07	-20.468	8.28E-06	5.082	down
Peak698	6.52E-07	-20.548	0.00090295	3.0443	down
Peak668	5.94E-07	-20.683	0.00036952	3.4324	down
Peak844	5.93E-07	-20.685	2.66E-05	4.5748	down
Peak670	5.63E-07	-20.761	9.18E-05	4.0371	down
Peak428	5.60E-07	-20.768	2.61E-05	4.5828	down
Peak733	5.51E-07	-20.79	8.21E-05	4.0854	down
Peak778	5.32E-07	-20.843	0.00023636	3.6264	down
Peak663	5.26E-07	-20.859	4.41E-05	4.3551	down
Peak697	5.15E-07	-20.888	0.00035016	3.4557	down
Peak630	4.85E-07	-20.975	0.0002611	3.5832	down
Peak648	4.12E-07	-21.21	4.73E-05	4.3252	down
Peak709	3.97E-07	-21.265	0.0001357	3.8674	down
Peak130	3.91E-07	-21.288	2.05E-05	4.6879	down
Peak632	3.83E-07	-21.317	0.0021915	2.6593	down
Peak701	3.74E-07	-21.349	0.0012333	2.9089	down
Peak669	3.37E-07	-21.502	0.00036782	3.4344	down
Peak667	3.26E-07	-21.549	4.36E-05	4.3604	down
Peak829	3.26E-07	-21.55	6.81E-06	5.1667	down
Peak251	3.20E-07	-21.577	0.00061027	3.2145	down
Peak658	3.17E-07	-21.591	4.65E-05	4.3326	down
Peak281	3.10E-07	-21.62	2.84E-05	4.5467	down
Peak664	3.02E-07	-21.66	4.65E-05	4.3326	down
Peak656	2.88E-07	-21.727	4.39E-05	4.3574	down
Peak596	2.86E-07	-21.738	8.19E-06	5.0868	down
Peak43	2.83E-07	-21.75	4.16E-05	4.3812	down
Peak920	2.80E-07	-21.768	0.0051233	2.2905	down
Peak142	2.74E-07	-21.797	7.19E-06	5.1432	down
Peak819	2.62E-07	-21.862	2.52E-05	4.5981	down
Peak734	2.45E-07	-21.959	7.01E-05	4.1541	down
Peak719	2.38E-07	-22.001	8.16E-05	4.0885	down
Peak925	2.36E-07	-22.016	0.00054971	3.2599	down
Peak775	2.35E-07	-22.021	0.00079558	3.0993	down
Peak746	2.33E-07	-22.03	9.44E-05	4.0248	down
Peak922	2.30E-07	-22.05	0.0003459	3.461	down
Peak131	2.24E-07	-22.09	6.81E-06	5.1667	down
Peak691	2.07E-07	-22.205	4.61E-05	4.3367	down
Peak788	2.02E-07	-22.236	0.00065245	3.1855	down
Peak822	1.95E-07	-22.289	6.81E-06	5.1667	down
Peak818	1.84E-07	-22.378	1.64E-05	4.7848	down
Peak624	1.78E-07	-22.42	1.82E-05	4.7393	down
Peak808	1.76E-07	-22.438	0.0026287	2.5803	down
Peak324	1.71E-07	-22.476	3.05E-05	4.5158	down
Peak314	1.66E-07	-22.526	0.00093677	3.0284	down
Peak830	1.58E-07	-22.592	0.00012336	3.9088	down
Peak335	1.57E-07	-22.604	8.28E-06	5.082	down
Peak832	1.55E-07	-22.622	0.0012333	2.9089	down
Peak686	1.54E-07	-22.627	4.42E-05	4.3542	down
Peak809	1.53E-07	-22.635	0.00047642	3.322	down
Peak623	1.53E-07	-22.64	0.00012627	3.8987	down
Peak690	1.53E-07	-22.643	5.36E-05	4.2708	down
Peak341	1.52E-07	-22.647	6.81E-06	5.1667	down
Peak771	1.47E-07	-22.696	3.85E-05	4.4145	down
Peak865	1.43E-07	-22.741	0.00094683	3.0237	down
Peak898	1.39E-07	-22.784	0.0027832	2.5555	down
Peak926	1.38E-07	-22.785	0.00026682	3.5738	down
Peak836	1.37E-07	-22.803	0.00026682	3.5738	down
Peak998	1.32E-07	-22.851	0.0008763	3.0573	down
Peak812	1.29E-07	-22.883	0.0018404	2.7351	down
Peak814	1.22E-07	-22.971	7.93E-06	5.1008	down
Peak855	1.21E-07	-22.983	0.00086356	3.0637	down
Peak494	1.16E-07	-23.041	6.81E-06	5.1667	down
Peak861	1.16E-07	-23.044	0.00052784	3.2775	down
Peak867	1.15E-07	-23.048	0.0010121	2.9948	down
Peak901	1.12E-07	-23.092	0.0017865	2.748	down
Peak846	1.11E-07	-23.101	0.0011515	2.9387	down
Peak868	1.11E-07	-23.109	0.00086301	3.064	down
Peak625	1.09E-07	-23.134	0.00022145	3.6547	down
Peak2	1.07E-07	-23.156	1.11E-05	4.9559	down
Peak936	1.07E-07	-23.156	0.00051288	3.29	down
Peak826	1.06E-07	-23.17	0.00031291	3.5046	down
Peak482	1.03E-07	-23.204	3.30E-05	4.4821	down
Peak619	1.03E-07	-23.208	8.19E-06	5.0868	down
Peak916	1.01E-07	-23.234	0.00032391	3.4896	down
Peak837	9.95E-08	-23.261	0.00037669	3.424	down
Peak864	9.81E-08	-23.282	9.00E-05	4.0459	down
Peak530	9.74E-08	-23.292	9.90E-05	4.0043	down
Peak316	9.63E-08	-23.308	2.59E-05	4.5874	down
Peak611	9.57E-08	-23.317	1.20E-05	4.9195	down
Peak823	9.38E-08	-23.347	0.00013195	3.8796	down
Peak349	9.24E-08	-23.368	3.05E-05	4.5158	down
Peak330	9.18E-08	-23.377	0.00053003	3.2757	down
Peak543	9.15E-08	-23.382	6.81E-06	5.1667	down
Peak612	9.14E-08	-23.384	3.05E-05	4.5158	down
Peak605	9.01E-08	-23.404	1.01E-05	4.9975	down
Peak411	8.98E-08	-23.409	1.11E-05	4.954	down
Peak872	8.91E-08	-23.42	0.0004669	3.3308	down
Peak810	8.90E-08	-23.422	0.00090643	3.0427	down
Peak811	8.84E-08	-23.432	0.0008763	3.0573	down
Peak908	8.72E-08	-23.451	0.00032261	3.4913	down
Peak459	8.69E-08	-23.456	2.97E-05	4.527	down
Peak609	8.49E-08	-23.489	4.16E-05	4.3807	down
Peak995	8.45E-08	-23.496	0.0011677	2.9327	down
Peak613	8.36E-08	-23.512	7.19E-06	5.1432	down
Peak825	8.30E-08	-23.522	0.00017683	3.7525	down
Peak838	8.16E-08	-23.547	0.00070793	3.15	down
Peak824	7.95E-08	-23.584	0.00025012	3.6018	down
Peak618	7.80E-08	-23.611	7.84E-05	4.1054	down
Peak20	7.73E-08	-23.625	6.81E-06	5.1667	down
Peak828	7.73E-08	-23.625	5.76E-05	4.2397	down
Peak493	7.67E-08	-23.637	5.30E-05	4.2753	down
Peak871	7.51E-08	-23.666	0.0006374	3.1956	down
Peak827	7.42E-08	-23.684	9.34E-05	4.0299	down
Peak519	7.36E-08	-23.696	5.41E-05	4.2668	down
Peak866	7.21E-08	-23.725	0.00072261	3.1411	down
Peak888	7.11E-08	-23.746	0.00072648	3.1388	down
Peak942	7.03E-08	-23.762	0.00016433	3.7843	down
Peak607	6.94E-08	-23.78	8.19E-06	5.0868	down
Peak334	6.93E-08	-23.783	1.20E-05	4.9195	down
Peak923	6.90E-08	-23.789	0.00020113	3.6965	down
Peak610	6.66E-08	-23.84	8.08E-05	4.0925	down
