ID metabolite	FC	log2(FC)	p.ajusted	logarithme p	regulation
Peak814	4.85E-08	-24.297	0.0029737	2.5267	down
Peak923	4.10E-08	-24.54	0.0029737	2.5267	down
Peak866	3.99E-08	-24.577	0.0029737	2.5267	down
Peak853	3.77E-08	-24.663	0.0029737	2.5267	down
Peak871	3.74E-08	-24.673	0.0029737	2.5267	down
Peak264	3.62E-08	-24.719	0.0024745	2.6065	down
Peak864	3.60E-08	-24.729	0.0029737	2.5267	down
Peak843	3.51E-08	-24.764	0.0029737	2.5267	down
Peak846	3.51E-08	-24.765	0.0035576	2.4488	down
Peak942	3.46E-08	-24.786	0.0029737	2.5267	down
Peak908	3.24E-08	-24.878	0.0029737	2.5267	down
Peak888	3.02E-08	-24.979	0.0029737	2.5267	down
Peak39	2.79E-08	-25.094	0.0025452	2.5943	down
Peak850	2.79E-08	-25.095	0.0035438	2.4505	down
Peak851	2.61E-08	-25.193	0.0033291	2.4777	down
Peak849	2.49E-08	-25.262	0.0055544	2.2554	down
Peak854	2.44E-08	-25.288	0.0029737	2.5267	down
Peak914	2.43E-08	-25.296	0.0029737	2.5267	down
Peak883	2.40E-08	-25.315	0.0029794	2.5259	down
Peak852	2.33E-08	-25.353	0.0029737	2.5267	down
Peak869	2.18E-08	-25.45	0.0029737	2.5267	down
Peak934	2.17E-08	-25.458	0.0029737	2.5267	down
Peak870	2.14E-08	-25.476	0.0029737	2.5267	down
Peak887	1.97E-08	-25.596	0.0029737	2.5267	down
Peak893	1.96E-08	-25.604	0.0029737	2.5267	down
Peak881	1.86E-08	-25.678	0.0029737	2.5267	down
Peak906	1.78E-08	-25.742	0.0029737	2.5267	down
Peak886	1.77E-08	-25.755	0.0029737	2.5267	down
Peak879	1.69E-08	-25.817	0.0029737	2.5267	down
Peak878	1.67E-08	-25.834	0.0029737	2.5267	down
Peak885	1.66E-08	-25.841	0.0029737	2.5267	down
Peak907	1.65E-08	-25.851	0.0029737	2.5267	down
Peak884	1.60E-08	-25.897	0.0029737	2.5267	down
Peak880	1.59E-08	-25.907	0.0029737	2.5267	down
Peak882	1.59E-08	-25.908	0.0029737	2.5267	down
Peak24	1.56E-08	-25.934	0.0029532	2.5297	down
Peak891	1.21E-08	-26.3	0.0029737	2.5267	down
